frame_id,video_id,source_frame_index,timestamp_seconds,output_path,status,sharpness,duplicate_of
video-1__f000000__t0.000,video-1,0,0.0,data\frames\video-1\frame_000001.png,selected,243.6675491978725,
video-1__f000005__t0.200,video-1,5,0.2,data\frames\video-1\frame_000002.png,selected,103.21337165540935,
video-1__f000010__t0.400,video-1,10,0.4,data\frames\video-1\frame_000003.png,selected,290.333373942309,
video-1__f000014__t0.600,video-1,14,0.6,data\frames\video-1\frame_000004.png,selected,226.94100957773165,
video-1__f000019__t0.800,video-1,19,0.8,data\frames\video-1\frame_000005.png,selected,159.73895920573932,
video-1__f000024__t1.000,video-1,24,1.0,data\frames\video-1\frame_000006.png,selected,153.45164628363685,
video-1__f000029__t1.200,video-1,29,1.2,data\frames\video-1\frame_000007.png,selected,135.38576241292887,
video-1__f000034__t1.400,video-1,34,1.4,data\frames\video-1\frame_000008.png,excluded_blurred,40.32090928359532,
video-1__f000038__t1.600,video-1,38,1.6,data\frames\video-1\frame_000009.png,selected,215.40318355957666,
video-1__f000043__t1.800,video-1,43,1.8,data\frames\video-1\frame_000010.png,selected,240.58260769272843,
video-1__f000048__t2.000,video-1,48,2.0,data\frames\video-1\frame_000011.png,selected,356.68744573990506,
video-1__f000053__t2.200,video-1,53,2.2,data\frames\video-1\frame_000012.png,selected,282.77470514835954,
video-1__f000058__t2.400,video-1,58,2.4,data\frames\video-1\frame_000013.png,selected,294.2904719511208,
video-1__f000062__t2.600,video-1,62,2.6,data\frames\video-1\frame_000014.png,selected,197.05318992295196,
video-1__f000067__t2.800,video-1,67,2.8,data\frames\video-1\frame_000015.png,selected,245.25327334759965,
video-1__f000072__t3.000,video-1,72,3.0,data\frames\video-1\frame_000016.png,selected,245.7864408485683,
video-1__f000077__t3.200,video-1,77,3.2,data\frames\video-1\frame_000017.png,selected,242.5464187461285,
video-1__f000082__t3.400,video-1,82,3.4,data\frames\video-1\frame_000018.png,selected,213.86105115541523,
video-1__f000086__t3.600,video-1,86,3.6,data\frames\video-1\frame_000019.png,excluded_duplicate,209.78846865225537,video-1__f000082__t3.400
video-1__f000091__t3.800,video-1,91,3.8,data\frames\video-1\frame_000020.png,selected,211.76616890558307,
video-1__f000096__t4.000,video-1,96,4.0,data\frames\video-1\frame_000021.png,selected,220.96647272502753,
video-1__f000101__t4.200,video-1,101,4.2,data\frames\video-1\frame_000022.png,selected,241.95770973256893,
video-1__f000106__t4.400,video-1,106,4.4,data\frames\video-1\frame_000023.png,selected,236.96865029426084,
video-1__f000110__t4.600,video-1,110,4.6,data\frames\video-1\frame_000024.png,selected,217.61137972234025,
video-1__f000115__t4.800,video-1,115,4.8,data\frames\video-1\frame_000025.png,selected,209.0588440692259,
video-1__f000120__t5.000,video-1,120,5.0,data\frames\video-1\frame_000026.png,selected,213.250074311493,
video-1__f000125__t5.200,video-1,125,5.2,data\frames\video-1\frame_000027.png,selected,217.57096191615233,
video-1__f000130__t5.400,video-1,130,5.4,data\frames\video-1\frame_000028.png,selected,211.43468773199453,
video-1__f000134__t5.600,video-1,134,5.6,data\frames\video-1\frame_000029.png,selected,219.8848477266729,
video-1__f000139__t5.800,video-1,139,5.8,data\frames\video-1\frame_000030.png,selected,228.17917641955944,
video-1__f000144__t6.000,video-1,144,6.0,data\frames\video-1\frame_000031.png,selected,234.13633650026202,
video-1__f000149__t6.200,video-1,149,6.2,data\frames\video-1\frame_000032.png,selected,222.7390539727093,
video-1__f000154__t6.400,video-1,154,6.4,data\frames\video-1\frame_000033.png,selected,230.582365643647,
video-1__f000158__t6.600,video-1,158,6.6,data\frames\video-1\frame_000034.png,selected,227.01946785714892,
video-1__f000163__t6.800,video-1,163,6.8,data\frames\video-1\frame_000035.png,selected,228.5401493122824,
